SEASON_END_YEAR,PLAYER_NAME,ALL_ROOKIE_LABEL,PLAYER_NAME_KEY
2005,Al Jefferson,1,al jefferson
2005,Nenad Krstic,1,nenad krstic
2005,Jameer Nelson,1,jameer nelson
2005,Josh Smith,1,josh smith
2004,Carmelo Anthony,2,carmelo anthony
2004,Chris Bosh,2,chris bosh
2004,Kirk Hinrich,2,kirk hinrich
2004,LeBron James,2,lebron james
2004,Dwyane Wade,2,dwyane wade
2004,Marquis Daniels,1,marquis daniels
2004,T.J. Ford,1,tj ford
2004,Udonis Haslem,1,udonis haslem
2004,Jarvis Hayes,1,jarvis hayes
2004,Josh Howard,1,josh howard
2003,Caron Butler,2,caron butler
2003,Drew Gooden,2,drew gooden
2003,Nene Hilario,2,nene hilario
2003,Yao Ming,2,yao ming
2003,Amare’ Stoudemire,2,amare stoudemire
2003,Carlos Boozer,1,carlos boozer
2003,J.R. Bremer,1,jr bremer
2003,Manu Ginobili,1,manu ginobili
2003,Gordon Giricek,1,gordon giricek
2003,Jay Williams,1,jay williams
2002,Shane Battier,2,shane battier
2002,Pau Gasol,2,pau gasol
2002,Andrei Kirilenko,2,andrei kirilenko
2002,Tony Parker,2,tony parker
2002,Jason Richardson,2,jason richardson
2002,Eddie Griffin,1,eddie griffin
2002,Richard Jefferson,1,richard jefferson
2002,Zeljko Rebraca,1,zeljko rebraca
2002,Jamaal Tinsley,1,jamaal tinsley
2002,Joe Johnson,1,joe johnson
2002,Vladimir Radmanovic,1,vladimir radmanovic
2001,Marc Jackson,2,marc jackson
2001,Kenyon Martin,2,kenyon martin
2001,Darius Miles,2,darius miles
2001,Mike Miller,2,mike miller
2001,Morris Peterson,2,morris peterson
2001,Courtney Alexander,1,courtney alexander
2001,Marcus Fizer,1,marcus fizer
2001,Desmond Mason,1,desmond mason
2001,Chris Mihm,1,chris mihm
2001,Hedo Turkoglu,1,hedo turkoglu
2000,Elton Brand,2,elton brand
2000,Steve Francis,2,steve francis
2000,Andre Miller,2,andre miller
2000,Lamar Odom,2,lamar odom
2000,Wally Szczerbiak,2,wally szczerbiak
2000,Ron Artest,1,ron artest
2000,Chucky Atkins,1,chucky atkins
2000,Shawn Marion,1,shawn marion
2000,James Posey,1,james posey
2000,Jason Terry,1,jason terry
